date,gross,fees,slippage,funding,net
2024-09-27,-0.0015519317998963897,-0.0,-0.0,4.104000000000007e-06,-0.0015478277998963897
2024-09-28,-0.009083522101932761,-0.0,-0.0,-1.6619999999999987e-06,-0.00908518410193276
2024-09-29,0.013331605778346033,-0.0,-0.0,2.4042999999999997e-05,0.013355648778346033
2024-09-30,3.665453581070972e-05,-0.0006000000000000001,-0.00036,3.7429000000000004e-05,-0.0008859164641892905
2024-10-01,0.004496943728193991,-0.0,-0.0,4.8694000000000005e-05,0.004545637728193991
2024-10-02,-0.0051820400724345555,-0.0,-0.0,6.325100000000001e-05,-0.005118789072434555
2024-10-03,-0.03211428258390927,-0.0,-0.0,5.969499999999998e-05,-0.03205458758390927
2024-10-04,0.03290523199887948,-0.0,-0.0,0.00033345700000000006,0.03323868899887948
2024-10-05,-0.017147571073436854,-0.0,-0.0,0.00014897100000000002,-0.016998600073436853
2024-10-06,0.019776238125076916,-0.0,-0.0,0.000202764,0.019979002125076917
2024-10-07,0.008121473055571295,-0.0004,-0.00023999999999999998,0.00020651500000000002,0.007687988055571295
2024-10-08,-0.003447307342884776,-0.0,-0.0,7.129300000000001e-05,-0.003376014342884776
2024-10-09,-0.01449075002740633,-0.0,-0.0,0.000190813,-0.014299937027406331
2024-10-10,-0.02645154222273641,-0.0,-0.0,0.00021419199999999998,-0.026237350222736412
2024-10-11,0.036814648078510384,-0.0,-0.0,-7.2712e-05,0.03674193607851038
2024-10-12,0.017772637453359132,-0.0,-0.0,-2.146000000000003e-06,0.01777049145335913
2024-10-13,-0.002633282040170894,-0.0,-0.0,-2.7927000000000012e-05,-0.0026612090401708943
2024-10-14,0.00477914363776888,-0.0003,-0.00017999999999999998,0.000103135,0.00440227863776888
2024-10-15,-0.0034942122617885644,-0.0,-0.0,6.9771e-05,-0.003424441261788564
2024-10-16,-0.005273503688725358,-0.0,-0.0,-2.557799999999999e-05,-0.005299081688725358
2024-10-17,-0.016288810446873005,-0.0,-0.0,-3.985999999999999e-06,-0.016292796446873006
2024-10-18,0.02245153552760284,-0.0,-0.0,0.000274609,0.02272614452760284
2024-10-19,-0.005764214292687331,-0.0,-0.0,7.312799999999998e-05,-0.0056910862926873316
2024-10-20,-0.016198595413290585,-0.0,-0.0,0.000110658,-0.016087937413290586
2024-10-21,-0.008949685705727437,-0.0006000000000000001,-0.00036,6.926600000000001e-05,-0.009840419705727436
2024-10-22,0.0005787784979207069,-0.0,-0.0,-3.103000000000004e-06,0.0005756754979207069
2024-10-23,0.005640146241377286,-0.0,-0.0,-1.627800000000001e-05,0.005623868241377286
2024-10-24,0.004145203106340945,-0.0,-0.0,-7.406000000000003e-06,0.004137797106340945
2024-10-25,-0.0016830711596646179,-0.0,-0.0,-2.9861000000000004e-05,-0.0017129321596646178
2024-10-26,-0.0016988939964867064,-0.0,-0.0,-0.000136381,-0.0018352749964867065
2024-10-27,0.005367521550271726,-0.0,-0.0,-3.452900000000001e-05,0.005332992550271726
2024-10-28,-0.004329663282134588,-0.0004,-0.00023999999999999998,-7.163600000000002e-05,-0.005041299282134588
2024-10-29,-0.005726328865485943,-0.0,-0.0,5.6273e-05,-0.005670055865485943
2024-10-30,-0.004304698752388291,-0.0,-0.0,0.000162721,-0.00414197775238829
2024-10-31,0.004010133933277405,-0.0,-0.0,0.00032192099999999997,0.004332054933277405
2024-11-01,0.004273032702742152,-0.0,-0.0,0.000239518,0.004512550702742152
2024-11-02,0.006981417146784241,-0.0,-0.0,0.00036588500000000004,0.007347302146784241
2024-11-03,0.004770506292162093,-0.0,-0.0,0.00020229000000000007,0.004972796292162093
2024-11-04,0.010357895437414444,-0.0004,-0.00023999999999999998,-1.8935e-05,0.009698960437414444
2024-11-05,-0.013034069445271478,-0.0,-0.0,4.042699999999999e-05,-0.012993642445271479
2024-11-06,-0.005583117531051321,-0.0,-0.0,6.355000000000003e-05,-0.005519567531051321
2024-11-07,-0.006546370137756786,-0.0,-0.0,5.893299999999999e-05,-0.006487437137756786
2024-11-08,0.019428657244675407,-0.0,-0.0,1.2670000000000013e-05,0.019441327244675406
2024-11-09,-0.08910542277598023,-0.0,-0.0,0.00012098600000000001,-0.08898443677598022
2024-11-10,0.03086671798125707,-0.0,-0.0,0.00018420600000000007,0.03105092398125707
2024-11-11,-0.01194945303178171,-0.0005000000000000001,-0.00030000000000000003,9.792600000000002e-05,-0.01265152703178171
2024-11-12,0.012854350506002763,-0.0,-0.0,0.00015118599999999993,0.013005536506002762
2024-11-13,0.039225210483749426,-0.0,-0.0,2.7913999999999977e-05,0.03925312448374942
2024-11-14,-0.0016713074716035309,-0.0,-0.0,6.747900000000001e-05,-0.0016038284716035308
2024-11-15,0.017333704007957983,-0.0,-0.0,1.0250999999999994e-05,0.017343955007957983
2024-11-16,-0.02098970971914617,-0.0,-0.0,3.4693999999999976e-05,-0.02095501571914617
2024-11-17,0.03725361164512854,-0.0,-0.0,6.564e-06,0.03726017564512854
2024-11-18,-0.020236152186613125,-0.0004,-0.00023999999999999998,2.0050999999999988e-05,-0.020856101186613126
2024-11-19,0.03046987517845891,-0.0,-0.0,-2.7958999999999994e-05,0.03044191617845891
2024-11-20,0.01691596733164925,-0.0,-0.0,-3.364599999999999e-05,0.016882321331649252
2024-11-21,-0.0003630276457421422,-0.0,-0.0,-3.3662e-05,-0.0003966896457421422
2024-11-22,0.017775335726184817,-0.0,-0.0,-7.346400000000003e-05,0.017701871726184818
